Country, State, Abbreviation
United States,Alabama,AL
United States,Alaska,AK
United States,Arizona,AZ
United States,Arkansas,AR
United States,California,CA
United States,Colorado,CO
United States,Connecticut,CT
United States,Delaware,DE
United States,Florida,FL
United States,Georgia,GA
United States,Hawaii,HI
United States,Idaho,ID
United States,Illinois,IL
United States,Indiana,IN
United States,Iowa,IA
United States,Kansas,KS
United States,Kentucky,KY
United States,Louisiana,LA
United States,Maine,ME
United States,Maryland,MD
United States,Massachusetts,MA
United States,Michigan,MI
United States,Minnesota,MN
United States,Mississippi,MS
United States,Missouri,MO
United States,Montana,MT
United States,Nebraska,NE
United States,Nevada,NV
United States,New Hampshire,NH
United States,New Jersey,NJ
United States,New Mexico,NM
United States,New York,NY
United States,North Carolina,NC
United States,North Dakota,ND
United States,Ohio,OH
United States,Oklahoma,OK
United States,Oregon,OR
United States,Pennsylvania,PA
United States,Rhode Island,RI
United States,South Carolina,SC
United States,South Dakota,SD
United States,Tennessee,TN
United States,Texas,TX
United States,Utah,UT
United States,Vermont,VT
United States,Virginia,VA
United States,Washington,WA
United States,West Virginia,WV
United States,Wisconsin,WI
United States,Wyoming,WY
Switzerland,Aargau,AG
Switzerland,Appenzell Inner Rhodes,AI
Switzerland,Appenzell Outer Rhodes,AR
Switzerland,Basel-Landschaft,BL
Switzerland,Basel-Stadt,BS
Switzerland,Bern,BE
Switzerland,Fribourg,FR
Switzerland,Geneva,GE
Switzerland,Glarus,GL
Switzerland,Graubünden,GR
Switzerland,Jura,JU
Switzerland,Lucerne,LU
Switzerland,Neuchâtel,NE
Switzerland,Nidwalden,NW
Switzerland,Obwalden,OW
Switzerland,Sankt Gallen,SG
Switzerland,Schaffhausen,SH
Switzerland,Sch,CH
Switzerland,Solothurn,SO
Switzerland,Thurgau,TG
Switzerland,Ticino,TI
Switzerland,Uri,UR
Switzerland,Valais,VS
Switzerland,Vaud,VD
Switzerland,Zug,ZG
Switzerland,Zurich,ZH
South Africa,Eastern Cape,Eastern Cape
South Africa,Free State,Free State
South Africa,Gauteng,Gauteng
South Africa,KwaZulu-Natal,KwaZulu-Natal
South Africa,Limpopo,Limpopo
South Africa,Mpumalanga,Mpumalanga
South Africa,Northern Cape,Northern Cape
South Africa,North West,North West
South Africa,Western Cape,Western Cape
